V-4.2,V-4.2,V-4,V-4,V-3.8,V-3.8,V-3.6,V-3.6,V-3.4,V-3.4,V-3.2,V-3.2,V-3,V-3,V-2.8,V-2.8,V-2.6,V-2.6,V-2.4,V-2.4
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.6549414764523327,32.04625049921651,0.7210223956253241,26.598261190132348,0.8047986236981952,22.358760099536084,0.8888513409726251,18.72407913735367,0.9563147061534192,16.300190470338748,1.0406439126294114,13.270329636570295,1.108383767011766,11.451261097969336,1.2101317931860756,9.025068354274822,1.278148136769989,7.8108199440877115,1.3461644803539041,6.596571533900601
1.6386900556050499,46.49626739577889,1.737673189763754,38.02187336794566,1.8026481521305016,30.154603545205987,1.9030137322970102,24.704310159442116,2.965285244692941,23.423243525544535,2.0362815274492316,16.227612054929068,2.120610733925224,13.197751221160615,2.204939940401216,10.167890387392163,2.2898221252803292,8.347669810451293,2.374980799361003,7.132269361924273
2.6733126478449183,59.73318792049395,2.736075696599178,47.02735707044326,2.800497680562808,37.95044699087589,2.899480814721512,29.476052963042548,3.9780651900095183,26.37937390556351,3.0316426530674914,18.58007434487422,3.1328377008386834,14.944241344351894,3.1997480876163547,11.310712420509276,3.2674879419987075,9.491643881908317,3.3523701268778243,7.671423304967561
3.6556787809898257,71.15910417498696,3.751897023132928,56.636508863015024,3.831802402383948,43.929525974624426,3.878805566649257,34.24894780498289,4.956560474332585,29.337808362262194,4.0441461091825115,20.931384596479347,4.110503517557062,16.088215415808918,4.194556234831493,12.453534453626503,4.279161930509046,10.028493748272012,4.346625295689838,7.604605081257091
4.672329575128261,82.58271635280016,4.750023040766793,65.03717243709866,4.811680132714818,49.912061073392465,4.892138490368955,38.41471844182968,5.969340419649166,32.2939387422814,5.022364904304011,23.284998924764295,5.122730484470521,17.83470553900031,5.206506712543392,13.595204448404047,5.273693588522624,10.566495652975277,5.358299284200177,8.141454947620673
5.671838038769925,94.00748056895327,5.731006727903905,73.43898804952232,5.826119013240762,56.497112223894874,5.905471414088657,42.580489078676464,6.964978034468986,35.25122116064017,6.05145771251267,24.425516881201816,6.15154680347762,18.370403367024096,6.2010383705569705,14.133206353107425,6.268225246536202,11.104497557678656,6.352554453012198,8.074636723910203
6.688212343706796,104.82627261835268,6.763417406531287,81.83734754692637,6.8228625848668205,61.87367515590927,6.884519676814842,46.74856379220296,7.9606156492888065,38.20850357899906,7.046818838130934,26.777979171146853,7.146631439894316,20.11804552855517,7.195570028570549,14.671208257810804,7.279899235046541,11.641347424042237,7.347086111025773,8.612638628613468
7.687167828945343,115.04139657767809,7.760713956560474,88.42355073576846,7.837024976191204,67.8539061779976,7.897852600534547,50.91433442904986,8.990261435900587,40.55866179226439,8.05904580504439,28.524469294338132,8.107154926115937,21.263171638352105,8.207244017080884,15.208058124174386,8.29157322355688,12.178197290405706,8.358760099536111,9.14948849497705
8.702989155479093,124.6505483702498,8.77570581548954,96.21824214309845,8.816349728118952,72.62680101993783,8.910909035052685,54.475284937482684,9.968756720223647,43.517096248963185,9.054130441461092,30.272111455869208,9.119105403827836,22.404841633129536,9.184909833799269,16.35203219563141,9.303247212067214,12.715047156769401,9.35329175754969,9.687490399680541
9.68480231022088,134.8668243679149,9.773831833123404,104.6189057171822,9.847101471536972,77.39623974685878,9.906823139074069,58.03738748425542,1.9693711406715604,19.861140978771687,10.032072747381031,32.020905655740194,10.131055881539732,23.546511627906852,10.214002642007925,17.49255015206893,10.280636539584036,13.254201099812576,10.381831587355224,9.618368099290365
